"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:72zHuDxFQTjbL51qJQSA7j","Ranjha (From ""Shershaah"")","spotify:artist:74OaRjmyh0XyRZsQQQ5l7c, spotify:artist:56SjZARoEvag3RoKWIb16j, spotify:artist:0bRPtPZQkWHeG7MGk9eWlh, spotify:artist:4nJ0kto93jDLHQKmpGeYS8","Jasleen Royal, B Praak, Romy, Anvita Dutt","spotify:album:0Z1zYMwJRpvq0d9rdqTOYo","Ranjha (From ""Shershaah"")","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-08-05","https://i.scdn.co/image/ab67616d0000b27309426d9ae9d8d981735ebc5e","1","1","228855","https://p.scdn.co/mp3-preview/a9bafa1bcbf3d7464f3869201b8511fd643d011d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","INS172102719","","2021-08-30T14:25:48Z"
"spotify:track:7zkA4TSmYO1Bko2PnFn0YB","Steven Universe","spotify:artist:6gWGD0yeQYobb2sq0LUr7k","L.Dre","spotify:album:5jM0CBYMJh1J5vcxR0DzM5","Steven Universe","spotify:artist:6gWGD0yeQYobb2sq0LUr7k","L.Dre","2020-02-21","https://i.scdn.co/image/ab67616d0000b273a5f5cb76ee8ddfc272aec550","1","1","134025","https://p.scdn.co/mp3-preview/df858664f48ce9729578ea4a61854cbcef3cc1a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QZFZ32084911","","2021-08-26T12:15:26Z"
"spotify:track:2LcXJP95e4HKydTZ2mYfrx","Tujh Mein Rab Dikhta Hai","spotify:artist:03SZmfKAgYRQKUwy0EoJUa","Roop Kumar Rathod","spotify:album:7pbKuvQHUTwbq4FbevvEca","Rab Ne Bana Di Jodi (Original)","spotify:artist:6ohaQzKaXrobAL8paLSaxq","Salim–Sulaiman","2008-11-06","https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8","1","1","281573","https://p.scdn.co/mp3-preview/7b8a959f5834cc7c483751f1a410417357044084?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","INY090800053","","2021-08-23T11:09:04Z"
"spotify:track:7yPeu0DTn2eWgO2FmHCks0","Nelluri Nerajana","spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu, spotify:artist:0Yb0T3wUUNiIvHjqnfkbuH","Hariharan, Mahalakshmi Iyer","spotify:album:1WCAy8NWpdJ0NtzBTtxXvu","Oke Okkadu","spotify:artist:1mYsTxnqsietFxj1OgoGbG","A.R. Rahman","1999-11-09","https://i.scdn.co/image/ab67616d0000b273cc80e0929aaf40074133684e","1","1","404106","https://p.scdn.co/mp3-preview/9733bd49293eb641a52d597c05bb79b417dbf568?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INA090209150","","2021-08-21T15:10:56Z"
"spotify:track:5HCyWlXZPP0y6Gqq8TgA20","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4QLAtpLNUsHEYrcHXmMIZZ","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","2021-07-09","https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5","1","1","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM12103949","","2021-08-18T17:42:30Z"
"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Take You Dancing","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:3II80i5KpS38r0QjNzu8ly","Take You Dancing","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","2020-07-22","https://i.scdn.co/image/ab67616d0000b27354eab2e4aa8b8706b6b526d2","1","1","190306","https://p.scdn.co/mp3-preview/51ee929f97903b71bdb13632d1142e7272d5193b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT22004479","","2021-08-18T17:15:30Z"
"spotify:track:0dT6g7oqjEqphjXMk8MKHz","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:3xK8rPlzF8LDHIIVYsDJUD","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","4","0","","false","0","","","2021-08-08T03:04:01Z"
"spotify:track:6jaQom4BBYEoylc4NSMcga","Yenno Yenno","spotify:artist:460i1WW8YQCJ6MR3dhMJxG","Karthik\, Chinmayee","spotify:album:53U9SGBZng53hsthxE6cP7","Malli Malli Idi Rani Roju","spotify:artist:4xlqU0G9EloUPHL1qlmWY6","Gopi Sundar","2014-12-07","https://i.scdn.co/image/ab67616d0000b27351bdc594693b4f06d6b01c1f","1","2","271428","https://p.scdn.co/mp3-preview/5cfd59a1b0b7f5ede2f9f73f36d1130be7d86eb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","INA091414720","","2021-07-31T04:58:42Z"
"spotify:track:4m7mqMdHGb0SrvCJe8F2k3","Varinche Prema","spotify:artist:1QvyquqkuuwUzdszyoKIy4","Haricharan","spotify:album:53U9SGBZng53hsthxE6cP7","Malli Malli Idi Rani Roju","spotify:artist:4xlqU0G9EloUPHL1qlmWY6","Gopi Sundar","2014-12-07","https://i.scdn.co/image/ab67616d0000b27351bdc594693b4f06d6b01c1f","1","3","270948","https://p.scdn.co/mp3-preview/24d0d260c1b7cf112ce7ef03f93e5691c4968d67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","INA091414721","","2021-07-31T04:58:24Z"
"spotify:track:4axMv2lzOyuqq6qTSJ2K3s","Get Lucky - Future House Remix","spotify:artist:1dXyyDButMVteLKOOVqz6Z","Eduardo Luzquiños","spotify:album:48maQV9A8aPSRXIZpus0K8","Get Lucky (Future House Remix)","spotify:artist:1dXyyDButMVteLKOOVqz6Z","Eduardo Luzquiños","2020-10-13","https://i.scdn.co/image/ab67616d0000b273ad313266d74407f1966d09c5","1","1","161250","https://p.scdn.co/mp3-preview/dae04081e028afdc3b35894acf686581af913577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ART0G2003179","","2021-07-22T08:24:16Z"
